affiliation	freq	formatted_address	locality	country	lat	lng
Institute of Chemical Physics, Academy of Sciences of the USSR, Chernogolovka, 	111	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Physics, Academy of Sciences of the USSR, Moscow	184	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Physics, Academy of Sciences of the USSR, Moscow, 	4009	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Physics, Academy of Sciences of the USSR, Moscow, USSR	194	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Physics, Academy of Sciences of the USSR, USSR	2518	California Academy of Sciences, CA	San Francisco	United States	37.76972961425781	-122.46609497070312
Institute of Chemical Physics, Academy of Sciences, Moscow, USSR	101	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Physics, Academy of Sciences, USSR	453	California Academy of Sciences, CA	San Francisco	United States	37.76972961425781	-122.46609497070312
Institute of Chemical Physics, Moscow, USSR	142	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Physics, U.S.S.R. Academy of Sciences USSR	140	California Academy of Sciences, CA	San Francisco	United States	37.76972961425781	-122.46609497070312
Institute of Chemical Physics, U.S.S.R. Academy of Sciences, Russia	242	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Physics, U.S.S.R. Academy of Sciences, U.S.S.R.	160	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Physics, U.S.S.R. Academy of Sciences, USSR	1687	California Academy of Sciences, CA	San Francisco	United States	37.76972961425781	-122.46609497070312
Institute of Chemical Physics, USSR Academy of Sciences, Moscow, USSR	125	Russian Academy of Sciences, Russia	Moscow	Russia	55.7110481262207	37.5794792175293
Institute of Chemical Process Fundamentals, Academy of Sciences, Prague, Czech Republic	3395	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Research of Catalonia (ICIQ), Av. PaÃƒÂ¯sos Catalans 16, 43007 Tarragona (Spain)	116	43007, Catalonia, Spain	Tarragona	Spain	41.13700866699219	1.2880100011825562
Institute of Chemical Research of Catalonia (ICIQ), Av. PaÃƒÂ¯sos Catalans 16, 43007 Tarragona, Spain	104	Avinguda Països Catalans, 16, 43007 Tarragona (Tarragona), Spain	Tarragona	Spain	41.1303375	1.243342
Institute of Chemical Sciences, Academy of Sciences of the Kazakh SSR, Alma-Ata, 	182	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Technology	9338	Institute of Chemical Technology, India	Mumbai	India	19.024169921875	72.85716247558594
Institute of Chemical Technology (Czech Republic)	125	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Technology Prague	355	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Technology in Prague	4106	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Technology, Prague	260	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Technology, Prague, Czech Republic	168	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Technology, TechnickÃƒÂ¡ 5, 166 28 Prague 6, Czech Republic	110	Prague 6, Czech Republic	Prague	Czech Republic	50.09415817260742	14.367480278015137
Institute of Chemical and Engineering Sciences, 1 Pesek Road, Jurong Island, Singapore 627833, Singapore	156	Pesek Rd & Jurong Island Hwy, Singapore, Singapore	Singapore	Singapore	1.28047	103.67859
Institute of Chemistry	471	N/A	N/A	N/A	N/A	N/A
Institute of Chemistry (China)	143	N/A	N/A	N/A	N/A	N/A
Institute of Chemistry, Academy of Sciences of the Moldavian SSR, Kishinev, 	261	N/A	N/A	N/A	N/A	N/A
Institute of Chemistry, Academy of Sciences of the USSR, Gor'kii, 	154	N/A	N/A	N/A	N/A	N/A
Institute of Chemistry, Academy of Sciences of the USSR, Gorki, 	206	N/A	N/A	N/A	N/A	N/A
Institute of Chemistry, Academy of Sciences of the USSR, Gorkii, 	133	N/A	N/A	N/A	N/A	N/A
Institute of Chemistry, Academy of Sciences of the USSR, USSR	250	California Academy of Sciences, CA	San Francisco	United States	37.76972961425781	-122.46609497070312
Institute of Chemistry, Bashkir Branch of the Academy of Sciences of the USSR, Ufa, 	653	N/A	N/A	N/A	N/A	N/A
Institute of Chemistry, Bashkir Branch, Academy of Sciences of the USSR, Ufa, 	832	N/A	N/A	N/A	N/A	N/A
Institute of Chemistry, Bashkir Science Center, Urals Branch, Academy of Sciences of the USSR, Ufa, 	317	N/A	N/A	N/A	N/A	N/A
Institute of Chemistry, Bashkir Scientific Center, Ural Branch, Academy of Sciences of the USSR, Ufa, 	122	N/A	N/A	N/A	N/A	N/A
Institute of Chemistry, Military University of Technology, Warsaw, Poland	172	Warsaw, Poland	Warsaw	Poland	52.235599517822266	21.0103702545166
Institute of Chemistry, Slovak Academy of Sciences	1112	California Academy of Sciences, CA	San Francisco	United States	37.76972961425781	-122.46609497070312
Institute of Chemistry, U.S.S.R. Academy of Sciences, Gorky U.S.S.R.	124	N/A	N/A	N/A	N/A	N/A
Institute of Chemistry, University of Opole, Oleska 48, 45-052 Opole, Poland	142	ulica Oleska 48, 45-052 Opole, Poland	Opole	Poland	50.67333	17.93144
Institute of Chemistry, Vilnius, Lithuania	172	Vilnius, Lithuania	Vilnius	Lithuania	54.69062042236328	25.269800186157227
Institute of Child Development	842	Child Development, MN	Minneapolis	United States	44.97849655151367	-93.23897552490234
Institute of Child Health	471	Health, AR	Health	United States	35.78689956665039	-93.94364166259766
Institute of Child Health, London, UK	248	London, London, United Kingdom	London	United Kingdom	51.50642013549805	-0.12721000611782074
Institute of Childhood and Education	299	Education District, CA	Bakersfield	United States	35.37805938720703	-119.01638793945312
Institute of Chinese Materia Medica, China Academy of Chinese Medical Sciences, Beijing 100700, China	362	N/A	N/A	N/A	N/A	N/A
Institute of Chinese Materia Medica, China Academy of Chinese Medical Sciences, Beijing, China	246	Beijing, China	Beijing	China	39.90468978881836	116.40717315673828
Institute of Chinese Materia Medica,China Academy of Chinese Medical Sciences,Beijing 100700,China)	244	N/A	N/A	N/A	N/A	N/A
Institute of Clinical Chemistry and Laboratory Medicine, University Medicine Greifswald, Greifswald, Germany	156	University Medicine Greifswald, MV, Germany	Greifswald	Germany	54.088348388671875	13.404194831848145
Institute of Clinical Medicine	344	Medicine Lake, MN	Medicine Lake	United States	44.99481964111328	-93.41455078125
Institute of Clinical Physiology of CNR, Pisa, Italy	104	Pisa, Tosc., Italy	Pisa	Italy	43.7099609375	10.399450302124023
Institute of Clinical Physiology, CNR, Pisa, Italy	369	Pisa, Tosc., Italy	Pisa	Italy	43.7099609375	10.399450302124023
Institute of Clinical Physiology, National Council of Research, Pisa, Italy	110	Pisa, Tosc., Italy	Pisa	Italy	43.7099609375	10.399450302124023
Institute of Colloid Chemistry and the Chemistry of Water, Academy of Sciences of the Ukrainian SSR, Ukraine	144	N/A	N/A	N/A	N/A	N/A
Institute of Combustion Problems	113	Institute, WV	Institute	United States	38.38359069824219	-81.76569366455078
Institute of Communication Networks and Satellite Communications (4400)	254	4400, Philippines	Naga	Philippines	13.643077850341797	123.24147033691406
Institute of Communications Engineering,PLA Univ	134	Pia, Congo (DRC)	Pia	Congo (DRC)	3.8897600173950195	26.30010223388672
Institute of Company Secretaries of India	359	Institute of Company Secretaries of India, India	New Delhi	India	28.588619232177734	77.22830200195312
Institute of Computer Graphics and Vision (7100)	542	N/A	N/A	N/A	N/A	N/A
Institute of Computer and Communication Engineering	148	LIFE Bible College, CA	San Dimas	United States	34.09919738769531	-117.82640075683594
Institute of Control Sciences	198	Control, AB	Control	Canada	51.023990631103516	-111.9420394897461
Institute of Control Sciences, Moscow, USSR	376	N/A	N/A	N/A	N/A	N/A
Institute of Cosmology and Gravitation	506	Institute, WV	Institute	United States	38.38359069824219	-81.76569366455078
Institute of Cosmology and Gravitation, University of Portsmouth	793	University of Portsmouth, United Kingdom	Portsmouth	United Kingdom	50.795780181884766	-1.0940300226211548
Institute of Cost and Management Accountants of Bangladesh	2514	N/A	N/A	N/A	N/A	N/A
Institute of Criminal Justice Studies	691	Park Criminal, Finistère, France	Melgven	France	47.91305923461914	-3.874419927597046
Institute of Crop Science, Chinese Academy of Agricultural Sciences	123	La Science, Ille-et-Vilaine, France	Boistrudan	France	47.963531494140625	-1.3861700296401978
Institute of Crop Science, Chinese Academy of Agricultural Sciences, Beijing 100081, China	181	N/A	N/A	N/A	N/A	N/A
Institute of Crop Science, Chinese Academy of Agricultural Sciences, Beijing, China	160	Beijing, China	Beijing	China	39.90468978881836	116.40717315673828
Institute of Crop Sciences, Chinese Academy of Agricultural Sciences, Beijing 100081, China	145	N/A	N/A	N/A	N/A	N/A
Institute of Crop Sciences, Chinese Academy of Agricultural Sciences, Beijing, China	134	Beijing, China	Beijing	China	39.90468978881836	116.40717315673828
Institute of Crystallography (Russia)	106	N/A	N/A	N/A	N/A	N/A
Institute of Crystallography, Academy of Sciences of the USSR, Moscow	331	N/A	N/A	N/A	N/A	N/A
Institute of Crystallography, Academy of Sciences of the USSR, Moscow, USSR	135	N/A	N/A	N/A	N/A	N/A
Institute of Cybernetics	101	Institute, WV	Institute	United States	38.38359069824219	-81.76569366455078
Institute of Cytology and Genetics	297	Institute, WV	Institute	United States	38.38359069824219	-81.76569366455078
Institute of Cytology and Genetics SB RAS	121	N/A	N/A	N/A	N/A	N/A
Institute of Cytology and Genetics SB RAS, Novosibirsk, Russia	105	Novosibirsk, Russia	Novosibirsk	Russia	55.03976058959961	82.91015625
Institute of Cytology and Genetics, Novosibirsk, Russia	152	Novosibirsk, Russia	Novosibirsk	Russia	55.03976058959961	82.91015625
Institute of Development Studies	385	Institute, WV	Institute	United States	38.38359069824219	-81.76569366455078
Institute of Disaster Prevention	330	1955 Le Mans disaster, Sarthe, France	Le Mans	France	47.949859619140625	0.20722199976444244
Institute of Earth Sciences	107	Institute, WV	Institute	United States	38.38359069824219	-81.76569366455078
Institute of Ecology	101	Institute, WV	Institute	United States	38.38359069824219	-81.76569366455078
Institute of Economic Growth	154	Institute, WV	Institute	United States	38.38359069824219	-81.76569366455078
Institute of Economics	120	Paris School of Economics, Paris, France	Paris	France	48.82210922241211	2.331010103225708
Institute of Economics, Academia Sinica	344	Sinicë, Albania	Sinicë	Albania	40.515018463134766	20.869380950927734
Institute of Ecosystem Studies	262	N/A	N/A	N/A	N/A	N/A
Institute of Education	4463	College of Teachers, United Kingdom	London	United Kingdom	51.5241813659668	-0.12883999943733215
Institute of Electrical Engineering, SAS, DÃƒÂºbravskÃƒÂ¡ cesta 9, 841 04 Bratislava, Slovakia	104	841 04, Slovakia	Bratislava	Slovakia	48.160240173339844	17.057140350341797
Institute of Electrical and Electronics Engineers	4023	Institute, WV	Institute	United States	38.38359069824219	-81.76569366455078
Institute of Electricity Economics and Energy Innovation (4340)	100	N/A	N/A	N/A	N/A	N/A
Institute of Electrochemistry, Academy of Sciences of the USSR, Moscow, 	138	N/A	N/A	N/A	N/A	N/A
Institute of Electron Microscopy and Nanoanalysis (5190)	444	Electron Microscopy, CA	Los Angeles	United States	34.01943588256836	-118.28665161132812
Institute of Electron Technology	597	Electron, WA	Electron	United States	46.993099212646484	-122.1800537109375
Institute of Electron Technology (Poland)	546	N/A	N/A	N/A	N/A	N/A
Institute of Electron Technology, Al. Lotnikow 32/46, 02-668 Warsaw, Poland	186	aleja Lotników 32, 02-668 Warsaw, Poland	Warsaw	Poland	52.175836	21.0088668
Institute of Electron Technology, Al. LotnikÃƒÂ³w 32/46, 02-668 Warsaw, Poland	269	02-668, Poland	Warsaw	Poland	52.17612075805664	21.010223388671875
Institute of Electron Technology, Warsaw, Poland	307	Warsaw, Poland	Warsaw	Poland	52.235599517822266	21.0103702545166
Institute of Electron Technology, al. LotnikÃƒÂ³w 32/46, 02-668 Warsaw, Poland	122	02-668, Poland	Warsaw	Poland	52.17612075805664	21.010223388671875
Institute of Electronic Materials Technology	554	Institute, WV	Institute	United States	38.38359069824219	-81.76569366455078
Institute of Electronic Materials Technology (Poland)	633	N/A	N/A	N/A	N/A	N/A
Institute of Electronic Materials Technology, Warsaw, Poland	244	Warsaw, Poland	Warsaw	Poland	52.235599517822266	21.0103702545166
Institute of Electronic Materials Technology, Wolczynska 133, 01-919 Warsaw, Poland	282	01-919, Poland	Warsaw	Poland	52.29104995727539	20.899030685424805
Institute of Electronic Materials Technology, WÃƒÂ³lczyÃ…Â„ska 133, 01-919 Warsaw, Poland	339	01-919, Poland	Warsaw	Poland	52.29104995727539	20.899030685424805
Institute of Electronics	146	Institute, WV	Institute	United States	38.38359069824219	-81.76569366455078
Institute of Electronics (4390)	139	4390, South Africa	KwaDukuza	South Africa	-29.47446632385254	31.20685577392578
Institute of Electronics (Belarus)	188	N/A	N/A	N/A	N/A	N/A
Institute of Electronics (Bulgaria)	1083	N/A	N/A	N/A	N/A	N/A
Institute of Electronics (China)	313	N/A	N/A	N/A	N/A	N/A
Institute of Electronics and Computer Science	127	La Science, Ille-et-Vilaine, France	Boistrudan	France	47.963531494140625	-1.3861700296401978
Institute of Electrophysics (Russia)	132	N/A	N/A	N/A	N/A	N/A
Institute of Elementary Organic Compounds, U.S.S.R. Academy of Sciences, USSR	104	California Academy of Sciences, CA	San Francisco	United States	37.76972961425781	-122.46609497070312
Institute of Endocrinology	249	Institute, WV	Institute	United States	38.38359069824219	-81.76569366455078
Institute of Endocrinology, Prague, Czech Republic	244	N/A	N/A	N/A	N/A	N/A
Institute of Engineering Geodesy and Measurement Systems (5200)	242	LIFE Bible College, CA	San Dimas	United States	34.09919738769531	-117.82640075683594
Institute of Environment and Sustainable Development in Agriculture, Chinese Academy of Agricultural Sciences, Beijing 100081, China	133	N/A	N/A	N/A	N/A	N/A
Institute of Environmental Biotechnology (6530)	133	Institute, WV	Institute	United States	38.38359069824219	-81.76569366455078
Institute of Epidemiology II, Helmholtz Zentrum MÃƒÂ¼nchen, German Research Center for Environmental Health, Neuherberg, Germany	138	Neuherberg, BY, Germany	Neuherberg	Germany	49.515628814697266	10.284649848937988
Institute of Experimental Botany	187	N/A	N/A	N/A	N/A	N/A
Institute of Experimental Cardiology, Cardiology Research Center, Moscow, Russia	101	Moscow, Russia	Moscow	Russia	55.756961822509766	37.615020751953125
Institute of Experimental Medicine	432	Medicine Lake, MN	Medicine Lake	United States	44.99481964111328	-93.41455078125
Institute of Experimental Physics	141	Institute, WV	Institute	United States	38.38359069824219	-81.76569366455078
Institute of Experimental Physics (5110)	912	5110, Philippines	Lubang	Philippines	13.810791015625	120.19351959228516
Institute of Experimental Physics, Russian Federal Nuclear Center, Sarov, Russia	141	Sarova, Russia	Sarova	Russia	54.92070388793945	43.33095932006836
Institute of Experimental Physics, Sarov, 	102	N/A	N/A	N/A	N/A	N/A
Institute of Farm Animal Genetics, Friedrich-Loeffler-Institut (FLI), Neustadt-Mariensee, Germany	160	Mariensee, NI, Germany	Mariensee	Germany	52.561161041259766	9.486809730529785
Institute of Field and Vegetable Crops	235	N/A	N/A	N/A	N/A	N/A
Institute of Fluid Mechanics and Heat Transfer (3210)	127	3210, Luxembourg	Bettembourg	Luxembourg	49.5128288269043	6.107038974761963
Institute of Fluid-Flow Machinery (Poland)	200	N/A	N/A	N/A	N/A	N/A
Institute of Food Research	399	Research, Australia	Research	Australia	-37.70357131958008	145.1803436279297
Institute of Food and Agricultural Sciences	401	Institute, WV	Institute	United States	38.38359069824219	-81.76569366455078
Institute of Forensic Medicine	107	Medicine Lake, MN	Medicine Lake	United States	44.99481964111328	-93.41455078125
Institute of Forest Genetics and Tree Breeding	106	Tree Lake, WI	Alban	United States	44.67295837402344	-89.27385711669922
Institute of Fundamental Studies	127	Institute, WV	Institute	United States	38.38359069824219	-81.76569366455078
Institute of Fundamental Studies, Hantana Road, Kandy, Sri Lanka	289	Kandy, Sri Lanka	Kandy	Sri Lanka	7.2949700355529785	80.63865661621094
Institute of Fundamental Technological Research	255	Research, Australia	Research	Australia	-37.70357131958008	145.1803436279297
Institute of Fundamental Technological Research, Warsaw, Poland	160	Warsaw, Poland	Warsaw	Poland	52.235599517822266	21.0103702545166
Institute of Gas Technology (Chicago, IL)	374	Chicago, IL	Chicago	United States	41.88425064086914	-87.6324462890625
Institute of Gastroenterology	101	Institute, WV	Institute	United States	38.38359069824219	-81.76569366455078
Institute of Gastroenterology, Tokyo Women's Medical College	209	N/A	N/A	N/A	N/A	N/A
Institute of Gastroenterology, Tokyo Women's Medical College, Tokyo, Japan	142	Tokyo, Japan	Tokyo	Japan	35.684078216552734	139.80885314941406
Institute of General Physics (Russia)	124	N/A	N/A	N/A	N/A	N/A
Institute of General and Inorganic Chemistry, Academy of Sciences of the Ukrainian SSR, Kiev, 	201	N/A	N/A	N/A	N/A	N/A
Institute of Genomics and Integrative Biology	1785	Institute, WV	Institute	United States	38.38359069824219	-81.76569366455078
Institute of Geodesy (5220)	121	5220, Australia	Parndana	Australia	-35.783485412597656	137.25601196289062
Institute of Geographic Sciences and Natural Resources Research	114	N/A	N/A	N/A	N/A	N/A
Institute of Geographic Sciences and Natural Resources Research, CAS	685	N/A	N/A	N/A	N/A	N/A
Institute of Geographic Sciences and Natural Resources Research, CAS, Beijing 100101, China	101	N/A	N/A	N/A	N/A	N/A
Institute of Geographic Sciences and Natural Resources Research, CAS, Beijing, China	710	Beijing, China	Beijing	China	39.90468978881836	116.40717315673828
Institute of Geographic Sciences and Natural Resources Research,CAS,Beijing 100101,China)	341	N/A	N/A	N/A	N/A	N/A
Institute of Geographical Sciences and Natural Resources Research (China)	154	N/A	N/A	N/A	N/A	N/A
